Tract type,Tracts,Tracts with rail,Percentage
Declining,2207,325,679.08
Downgrading,1849,166,1113.86
Gentrifying,1069,425,251.53
Stable,19417,2929,662.92
Stable low-income,11562,3234,357.51
Upgrading,484,128,378.12
NA,10462,1902,550.05
